total_classes,attended,remaining,threshold,current_pct,study_hours,subject_difficulty,can_bunk,safe_to_bunk
94,82,37,75,87.23,4,1,29,1
121,93,33,85,76.86,6,3,18,1
130,116,17,75,89.23,3,4,17,1
142,80,29,75,56.34,1,1,27,1
131,83,14,75,63.36,3,3,14,1
83,72,26,85,86.75,5,3,14,1
102,51,33,75,50.0,4,1,21,1
94,51,37,80,54.26,3,5,17,1
122,105,32,85,86.07,2,3,20,1
108,57,23,85,52.78,5,5,12,1
115,72,14,85,62.61,5,1,12,1
92,69,29,85,75.0,3,5,14,1
111,70,41,80,63.06,3,2,22,1
138,70,50,85,50.72,4,4,18,1
107,101,16,85,94.39,1,3,16,1
145,103,4,75,71.03,3,4,4,1
121,86,28,85,71.07,7,5,17,1
124,81,3,80,65.32,3,3,3,1
141,93,9,80,65.96,6,5,9,1
136,79,16,80,58.09,2,2,16,1
85,76,9,80,89.41,7,1,9,1
107,85,16,85,79.44,7,3,15,1
107,85,19,85,79.44,6,2,15,1
123,121,23,80,98.37,6,2,23,1
109,104,4,80,95.41,5,3,4,1
141,112,33,85,79.43,1,5,21,1
141,81,5,80,57.45,2,2,5,1
80,42,1,75,52.5,4,4,1,1
106,53,12,80,50.0,7,2,12,1
141,102,42,80,72.34,4,5,28,1
82,80,10,75,97.56,3,5,10,1
149,147,50,75,98.66,3,4,49,1
106,95,22,85,89.62,4,2,17,1
88,87,15,85,98.86,3,5,15,1
141,98,30,75,69.5,1,3,30,1
116,70,10,75,60.34,6,1,10,1
130,76,15,85,58.46,3,1,13,1
123,91,7,80,73.98,5,1,7,1
103,96,3,75,93.2,3,2,3,1
138,70,39,85,50.72,2,4,16,1
111,105,3,80,94.59,1,5,3,1
131,99,24,75,75.57,2,3,24,1
141,77,2,80,54.61,2,3,2,1
137,93,31,85,67.88,5,2,18,1
131,98,2,75,74.81,1,1,2,1
91,85,26,80,93.41,1,2,22,1
118,65,28,75,55.08,1,4,23,1
81,43,31,80,53.09,1,4,14,1
82,51,18,85,62.2,1,5,10,1
135,95,20,85,70.37,5,5,17,1
138,104,4,75,75.36,3,4,4,1
81,64,17,80,79.01,2,4,16,1
81,60,27,75,74.07,1,4,21,1
133,101,41,75,75.94,7,2,35,1
80,49,21,80,61.25,3,4,14,1
98,85,20,80,86.73,3,3,20,1
81,48,5,80,59.26,2,1,5,1
132,89,0,85,67.42,5,4,0,0
123,95,4,75,77.24,4,1,4,1
111,103,40,75,92.79,4,2,35,1
149,109,11,85,73.15,3,1,11,1
111,72,25,80,64.86,6,2,19,1
147,96,45,85,65.31,6,3,21,1
134,89,33,85,66.42,2,2,18,1
135,128,48,85,94.81,4,2,26,1
96,79,13,75,82.29,3,5,13,1
117,94,25,85,80.34,5,4,17,1
103,62,26,75,60.19,4,4,22,1
148,128,8,75,86.49,3,3,8,1
149,86,25,75,57.72,3,3,25,1
90,67,21,80,74.44,1,4,17,1
95,71,29,75,74.74,5,5,25,1
138,98,42,75,71.01,1,4,35,1
149,90,47,80,60.4,2,5,27,1
82,60,16,75,73.17,1,3,16,1
99,96,25,85,96.97,7,1,18,1
138,81,35,85,58.7,1,3,17,1
115,115,0,75,100.0,7,3,0,0
98,67,7,80,68.37,4,2,7,1
146,121,48,85,82.88,6,2,25,1
98,84,34,80,85.71,3,2,23,1
99,60,14,80,60.61,7,2,14,1
131,125,46,85,95.42,5,5,25,1
112,96,21,80,85.71,1,4,21,1
119,77,13,85,64.71,7,1,13,1
118,70,25,80,59.32,5,3,19,1
80,48,27,85,60.0,6,5,11,1
90,51,22,75,56.67,6,1,18,1
136,95,13,85,69.85,1,5,13,1
129,115,23,85,89.15,2,5,20,1
102,69,1,85,67.65,1,3,1,1
110,101,44,85,91.82,4,4,21,1
121,75,25,80,61.98,7,2,20,1
86,47,13,75,54.65,3,4,13,1
95,81,6,85,85.26,2,3,6,1
139,80,2,80,57.55,1,3,2,1
81,64,22,75,79.01,5,3,21,1
80,60,17,75,75.0,2,1,17,1
127,115,37,75,90.55,7,4,37,1
91,67,34,75,73.63,2,4,25,1
148,89,50,85,60.14,7,5,20,1
116,114,14,85,98.28,1,5,14,1
111,93,24,80,83.78,7,5,23,1
88,88,27,80,100.0,2,3,23,1
98,90,9,80,91.84,5,4,9,1
127,120,38,75,94.49,6,3,38,1
82,79,16,75,96.34,2,1,16,1
99,62,38,85,62.63,7,5,15,1
103,81,21,75,78.64,6,3,21,1
133,70,25,75,52.63,7,3,23,1
112,90,43,75,80.36,5,1,33,1
103,73,24,80,70.87,7,2,19,1
115,85,16,80,73.91,1,4,16,1
117,100,12,85,85.47,3,2,12,1
104,62,19,75,59.62,2,5,19,1
97,65,24,75,67.01,3,3,22,1
145,80,3,85,55.17,7,1,3,1
133,123,9,75,92.48,5,1,9,1
114,100,2,75,87.72,2,4,2,1
140,86,40,80,61.43,7,2,25,1
120,120,44,85,100.0,6,4,24,1
112,93,17,85,83.04,4,3,16,1
147,79,46,85,53.74,7,4,18,1
112,101,35,85,90.18,3,1,20,1
93,58,21,80,62.37,2,1,15,1
100,89,33,80,89.0,3,5,24,1
127,104,46,75,81.89,2,5,37,1
99,57,7,75,57.58,7,3,7,1
87,69,18,75,79.31,1,2,18,1
86,44,5,75,51.16,6,4,5,1
146,77,51,80,52.74,7,3,25,1
96,76,25,85,79.17,3,5,15,1
112,92,33,80,82.14,4,4,25,1
127,100,44,75,78.74,4,5,36,1
138,76,5,80,55.07,5,4,5,1
101,97,36,85,96.04,2,2,19,1
109,98,32,85,89.91,3,3,19,1
117,58,21,80,49.57,5,4,15,1
130,81,20,80,62.31,3,1,20,1
133,110,5,80,82.71,2,1,5,1
87,46,5,75,52.87,7,4,5,1
106,88,3,80,83.02,7,4,3,1
106,58,29,80,54.72,4,4,17,1
100,80,10,80,80.0,7,1,10,1
109,72,29,85,66.06,7,1,15,1
107,96,30,85,89.72,1,4,18,1
143,124,23,75,86.71,4,5,23,1
148,112,54,75,75.68,5,5,41,1
140,88,8,85,62.86,6,2,8,1
127,101,2,85,79.53,1,3,2,1
98,51,30,85,52.04,5,5,12,1
83,53,23,80,63.86,2,1,15,1
114,106,30,80,92.98,1,5,27,1
143,128,5,85,89.51,5,2,5,1
128,83,1,80,64.84,2,2,1,1
96,75,19,80,78.12,4,3,18,1
123,68,27,75,55.28,6,5,23,1
109,94,10,85,86.24,2,1,10,1
125,100,3,85,80.0,7,1,3,1
85,42,14,80,49.41,3,4,11,1
116,60,5,85,51.72,2,1,5,1
103,63,29,75,61.17,2,3,23,1
125,89,37,75,71.2,6,3,31,1
132,127,50,75,96.21,3,1,44,1
139,131,1,85,94.24,7,1,1,1
142,95,14,85,66.9,5,4,14,1
111,110,10,85,99.1,5,1,10,1
112,88,7,85,78.57,2,4,7,1
146,110,25,85,75.34,3,4,20,1
97,53,4,75,54.64,3,1,4,1
104,95,5,80,91.35,7,2,5,1
133,110,25,75,82.71,6,2,25,1
137,99,53,85,72.26,4,4,22,1
146,117,3,75,80.14,5,1,3,1
125,122,18,85,97.6,6,2,18,1
103,97,19,85,94.17,1,1,17,1
111,75,32,75,67.57,5,1,26,1
126,78,19,85,61.9,6,1,14,1
102,71,11,80,69.61,5,5,11,1
145,107,46,85,73.79,4,1,22,1
106,87,0,80,82.08,1,5,0,0
81,58,25,80,71.6,4,4,16,1
96,67,13,85,69.79,7,2,12,1
112,112,37,75,100.0,1,2,37,1
88,61,10,80,69.32,2,2,10,1
122,107,35,75,87.7,6,2,35,1
127,111,12,80,87.4,1,2,12,1
118,72,42,85,61.02,7,2,17,1
121,74,2,85,61.16,7,2,2,1
105,82,32,80,78.1,4,4,22,1
129,64,5,85,49.61,5,1,5,1
104,104,9,80,100.0,1,3,9,1
103,53,4,85,51.46,6,5,4,1
92,61,22,75,66.3,1,3,20,1
139,125,9,85,89.93,3,3,9,1
86,53,1,75,61.63,5,1,1,1
